fecha,agencia_id,canal_id,producto_id,venta_uni,Week,Month,lag1month,lag2month,lag4month,lag8month,lag05month,lag6month,lag3month
2017-06-29,5,4,6011,49,26,6,144,313,525,525,313,525,525
2017-06-29,2,1,9784,82,26,6,645,1564,1803,1803,1564,1803,1803
2017-06-29,9,1,6555,971,26,6,3594,7504,11034,11034,7504,11034,11034
2017-06-29,6,2,6437,125,26,6,630,1218,1890,1890,1218,1890,1890
2017-06-29,2,2,7840,140,26,6,950,1685,4904,4904,1685,4904,4904
2017-06-29,15,1,39109,5,26,6,1764,4526,6686,6686,4526,6686,6686
2017-06-29,16,1,42158,3111,26,6,12378,23795,35568,35568,23795,35568,35568
2017-06-29,0,1,9784,52,26,6,82,253,490,490,253,490,490
2017-06-29,2,1,6437,1475,26,6,5396,12814,19882,19882,12814,19882,19882
2017-06-29,14,4,123460,9,26,6,122,553,684,684,553,684,684
2017-06-29,16,1,123576,1128,26,6,3635,7225,11556,11556,7225,11556,11556
2017-06-29,8,1,6437,1804,26,6,5993,11970,16469,16469,11970,16469,16469
2017-06-29,9,4,123460,24,26,6,357,1303,1580,1580,1303,1580,1580
2017-06-29,3,1,33258,27,26,6,102,221,296,296,221,296,296
2017-06-29,0,1,39109,23,26,6,47,151,266,266,151,266,266
2017-06-29,4,1,42158,135,26,6,782,1829,2821,2821,1829,2821,2821
2017-06-29,15,1,123335,491,26,6,2191,4283,6595,6595,4283,6595,6595
2017-06-29,11,1,42158,4734,26,6,18880,40768,61074,61074,40768,61074,61074
2017-06-29,14,1,123335,10,26,6,190,658,1300,1300,658,1300,1300
2017-06-29,9,4,6011,71,26,6,344,561,852,852,561,852,852
2017-06-29,18,4,38588,122,26,6,880,1498,2071,2071,1498,2071,2071
2017-06-29,6,1,38588,944,26,6,2743,6585,10298,10298,6585,10298,10298
2017-06-29,10,4,7840,1117,26,6,5691,12784,22982,22982,12784,22982,22982
2017-06-29,0,1,6555,674,26,6,2404,4724,7084,7084,4724,7084,7084
2017-06-29,17,1,6555,8689,26,6,29208,56870,83948,83948,56870,83948,83948
2017-06-29,13,1,123335,71,26,6,331,639,955,955,639,955,955
2017-06-29,6,1,123576,449,26,6,2150,4606,9380,9380,4606,9380,9380
2017-06-29,16,4,123576,70,26,6,80,207,336,336,207,336,336
2017-06-29,5,1,7840,3309,26,6,12700,30989,58829,58829,30989,58829,58829
2017-06-29,12,1,6555,1693,26,6,6669,14183,20912,20912,14183,20912,20912
2017-06-29,3,1,41653,95,26,6,338,724,1040,1040,724,1040,1040
2017-06-29,2,1,41653,124,26,6,336,888,971,971,888,971,971
2017-06-29,16,1,7840,1057,26,6,3920,8911,19451,19451,8911,19451,19451
2017-06-29,10,4,6011,31,26,6,46,156,407,407,156,407,407
2017-06-29,15,1,44117,12,26,6,41,169,251,251,169,251,251
2017-06-29,11,2,6011,100,26,6,119,264,424,424,264,424,424
2017-06-29,10,1,123576,776,26,6,4659,9391,13393,13393,9391,13393,13393
2017-06-29,11,2,42124,13,26,6,175,225,350,350,225,350,350
2017-06-29,6,4,33258,2,26,6,9,15,24,24,15,24,24
2017-06-29,5,2,123238,20,26,6,140,250,277,277,250,277,277
2017-06-29,0,1,123492,518,26,6,1564,3480,5231,5231,3480,5231,5231
2017-06-29,0,1,33258,7,26,6,33,75,112,112,75,112,112
2017-06-29,7,1,33258,32,26,6,124,237,344,344,237,344,344
2017-06-29,16,1,6555,3043,26,6,12469,25671,37282,37282,25671,37282,37282
2017-06-29,15,4,6011,68,26,6,406,761,1051,1051,761,1051,1051
2017-06-29,10,2,6437,210,26,6,1386,2310,3108,3108,2310,3108,3108
2017-06-29,7,1,38588,1936,26,6,7380,14799,21428,21428,14799,21428,21428
2017-06-29,15,1,6437,7839,26,6,32407,55173,68105,68105,55173,68105,68105
