,fecha,agencia_id,canal_id,producto_id,venta_uni,labeled_producto,labeled_agencia,labeled_canal,prediction
21052,2018-03-22,12797,2,7840,36324,3,11,1,3009.5
21712,2018-04-05,12731,2,7840,32832,3,3,1,2421.4
14177,2017-11-30,12839,1,7840,27871,3,17,0,1904.25
21557,2018-03-29,12809,4,7840,27230,3,15,2,6715.0
21477,2018-03-29,12797,2,7840,22545,3,11,1,3009.5
14149,2017-11-30,12809,4,7840,22311,3,15,2,6715.0
21914,2018-04-05,12797,2,7840,22254,3,11,1,3009.5
20257,2018-03-08,12809,1,7840,20759,3,15,0,4341.0
21978,2018-04-05,12809,1,7840,19830,3,15,0,4341.0
22223,2018-04-12,12752,2,7840,19082,3,6,1,1687.142857142857
18993,2018-02-15,12809,1,7840,18695,3,15,0,4341.0
21026,2018-03-22,12779,2,7840,18057,3,10,1,6155.0
17427,2018-01-18,12839,1,6437,17972,1,17,0,10857.5
12501,2017-11-02,12839,1,7840,17711,3,17,0,1904.25
21347,2018-03-29,12752,2,7840,17350,3,6,1,1687.142857142857
18586,2018-02-08,12809,1,7840,16857,3,15,0,4341.0
10792,2017-10-05,12809,4,7840,16421,3,15,2,6715.0
14175,2017-11-30,12839,1,6437,16392,1,17,0,10857.5
12499,2017-11-02,12839,1,6437,15771,1,17,0,10857.5
13908,2017-11-30,12750,1,7840,15727,3,5,0,3592.0
18202,2018-02-01,12809,4,7840,15479,3,15,2,6715.0
19006,2018-02-15,12809,4,7840,15368,3,15,2,6715.0
14134,2017-11-30,12809,1,7840,15266,3,15,0,4341.0
22641,2018-04-19,12752,2,7840,14989,3,6,1,1687.142857142857
22327,2018-04-12,12779,2,7840,14980,3,10,1,6155.0
22476,2018-04-12,12839,4,7840,14966,3,17,2,3471.0
13921,2017-11-30,12750,2,7840,14660,3,5,1,1687.142857142857
19400,2018-02-22,12809,1,7840,14627,3,15,0,4341.0
22020,2018-04-05,12839,1,6437,14498,1,17,0,10857.5
10413,2017-09-28,12839,1,6437,14212,1,17,0,10857.5
20299,2018-03-08,12839,1,6437,14189,1,17,0,10857.5
17387,2018-01-18,12809,1,7840,14092,3,15,0,4341.0
20499,2018-03-15,12752,2,7840,13963,3,6,1,1687.142857142857
16604,2018-01-04,12839,1,6437,13721,1,17,0,10857.5
22202,2018-04-12,12750,4,7840,13710,3,5,2,1799.857142857143
21993,2018-04-05,12809,4,7840,13700,3,15,2,6715.0
22820,2018-04-19,12809,4,7840,13428,3,15,2,6715.0
10815,2017-10-05,12839,1,6437,13322,1,17,0,10857.5
21785,2018-04-05,12752,2,7840,13317,3,6,1,1687.142857142857
14045,2017-11-30,12779,2,7840,13136,3,10,1,6155.0
22045,2018-04-05,12841,1,7840,13095,3,18,0,1106.5
12655,2017-11-09,12750,1,6437,13053,1,5,0,8044.0
15017,2017-12-14,12839,1,6437,12870,1,17,0,10857.5
19441,2018-02-22,12839,1,6437,12863,1,17,0,10857.5
16387,2018-01-04,12752,2,7840,12794,3,6,1,1687.142857142857
18918,2018-02-15,12797,1,7840,12760,3,11,0,4454.0
11228,2017-10-12,12839,1,6437,12630,1,17,0,10857.5
18227,2018-02-01,12839,1,6437,12558,1,17,0,10857.5
12926,2017-11-09,12839,1,6437,12510,1,17,0,10857.5
17825,2018-01-25,12839,1,6437,12463,1,17,0,10857.5
18625,2018-02-08,12839,1,6437,12435,1,17,0,10857.5
20178,2018-03-08,12797,1,7840,12383,3,11,0,4454.0
13755,2017-11-23,12839,1,6437,12367,1,17,0,10857.5
17011,2018-01-11,12839,1,6437,12224,1,17,0,10857.5
21624,2018-03-29,12841,2,7840,12180,3,18,1,1680.0
12516,2017-11-02,12839,4,7840,12130,3,17,2,3471.0
19031,2018-02-15,12839,1,6437,12018,1,17,0,10857.5
22433,2018-04-12,12809,4,7840,11920,3,15,2,6715.0
13946,2017-11-30,12752,2,7840,11889,3,6,1,1687.142857142857
15432,2017-12-21,12839,1,6437,11578,1,17,0,10857.5
19865,2018-03-01,12839,1,6437,11561,1,17,0,10857.5
15337,2017-12-21,12797,4,7840,11541,3,11,2,1397.6
11647,2017-10-19,12839,1,6437,11521,1,17,0,10857.5
12066,2017-10-26,12839,1,6437,11357,1,17,0,10857.5
15019,2017-12-14,12839,1,7840,11242,3,17,0,1904.25
14051,2017-11-30,12779,4,7840,11226,3,10,2,1397.6
17136,2018-01-18,12731,2,7840,11195,3,3,1,2421.4
17730,2018-01-25,12797,2,7840,11193,3,11,1,3009.5
18775,2018-02-15,12750,1,7840,11076,3,5,0,3592.0
22458,2018-04-12,12839,1,6437,10961,1,17,0,10857.5
14176,2017-11-30,12839,1,6555,10843,2,17,0,3870.0
12500,2017-11-02,12839,1,6555,10831,2,17,0,3870.0
19330,2018-02-22,12797,1,7840,10825,3,11,0,4454.0
21324,2018-03-29,12750,2,7840,10777,3,5,1,1687.142857142857
18773,2018-02-15,12750,1,6437,10736,1,5,0,8044.0
22845,2018-04-19,12839,1,6437,10709,1,17,0,10857.5
20724,2018-03-15,12839,1,6437,10560,1,17,0,10857.5
17329,2018-01-18,12797,2,7840,10496,3,11,1,3009.5
22151,2018-04-12,12731,2,7840,10473,3,3,1,2421.4
12455,2017-11-02,12809,1,7840,10426,3,15,0,4341.0
14213,2017-11-30,12841,2,7840,10423,3,18,1,1680.0
14991,2017-12-14,12809,4,7840,10423,3,15,2,6715.0
17429,2018-01-18,12839,1,7840,10399,3,17,0,1904.25
19182,2018-02-22,12750,1,7840,10398,3,5,0,3592.0
21104,2018-03-22,12808,2,7840,10355,3,14,1,2870.0
10414,2017-09-28,12839,1,6555,10346,2,17,0,3870.0
18341,2018-02-08,12731,2,7840,10340,3,3,1,2421.4
14976,2017-12-14,12809,1,7840,10300,3,15,0,4341.0
18932,2018-02-15,12797,2,7840,10290,3,11,1,3009.5
20075,2018-03-08,12761,1,6437,10282,1,7,0,10128.0
10373,2017-09-28,12809,1,7840,10258,3,15,0,4341.0
14589,2017-12-07,12839,1,6437,10196,1,17,0,10857.5
13906,2017-11-30,12750,1,6437,10119,1,5,0,8044.0
21919,2018-04-05,12797,4,7840,10095,3,11,2,1397.6
22022,2018-04-05,12839,1,7840,10087,3,17,0,1904.25
18514,2018-02-08,12797,1,7840,10073,3,11,0,4454.0
16605,2018-01-04,12839,1,6555,10063,2,17,0,3870.0
22806,2018-04-19,12809,1,7840,10027,3,15,0,4341.0
21155,2018-03-22,12839,1,6437,10007,1,17,0,10857.5
12276,2017-11-02,12761,1,6437,9914,1,7,0,10128.0
10200,2017-09-28,12761,1,6437,9832,1,7,0,10128.0
10968,2017-10-12,12750,1,6437,9828,1,5,0,8044.0
12375,2017-11-02,12797,1,6437,9781,1,11,0,8379.0
13342,2017-11-16,12839,1,6437,9764,1,17,0,10857.5
18371,2018-02-08,12750,1,7840,9761,3,5,0,3592.0
11229,2017-10-12,12839,1,6555,9657,2,17,0,3870.0
14058,2017-11-30,12797,1,7840,9649,3,11,0,4454.0
19342,2018-02-22,12797,2,7840,9627,3,11,1,3009.5
22021,2018-04-05,12839,1,6555,9609,2,17,0,3870.0
17401,2018-01-18,12809,4,7840,9574,3,15,2,6715.0
22229,2018-04-12,12752,4,7840,9562,3,6,2,1799.857142857143
17315,2018-01-18,12797,1,7840,9503,3,11,0,4454.0
10560,2017-10-05,12750,1,6437,9501,1,5,0,8044.0
22356,2018-04-12,12797,2,7840,9457,3,11,1,3009.5
14072,2017-11-30,12797,2,7840,9362,3,11,1,3009.5
19822,2018-03-01,12809,1,7840,9355,3,15,0,4341.0
18187,2018-02-01,12809,1,7840,9300,3,15,0,4341.0
11017,2017-10-12,12761,1,6437,9246,1,7,0,10128.0
10816,2017-10-05,12839,1,6555,9231,2,17,0,3870.0
21799,2018-04-05,12761,1,6437,9217,1,7,0,10128.0
14056,2017-11-30,12797,1,6437,9159,1,11,0,8379.0
17204,2018-01-18,12752,2,7840,9158,3,6,1,1687.142857142857
19222,2018-02-22,12752,2,7840,9157,3,6,1,1687.142857142857
14193,2017-11-30,12839,4,7840,9127,3,17,2,3471.0
19180,2018-02-22,12750,1,6437,9125,1,5,0,8044.0
21954,2018-04-05,12808,1,7840,9088,3,14,0,1195.5
19443,2018-02-22,12839,1,7840,9072,3,17,0,1904.25
10150,2017-09-28,12750,1,6437,9031,1,5,0,8044.0
11383,2017-10-19,12750,1,6437,9020,1,5,0,8044.0
15035,2017-12-14,12839,4,7840,8999,3,17,2,3471.0
18263,2018-02-01,12841,2,7840,8960,3,18,1,1680.0
17218,2018-01-18,12761,1,6437,8941,1,7,0,10128.0
14558,2017-12-07,12809,1,42158,8826,12,15,0,5872.0
13756,2017-11-23,12839,1,6555,8805,2,17,0,3870.0
17443,2018-01-18,12839,4,7840,8799,3,17,2,3471.0
21583,2018-03-29,12839,1,6437,8784,1,17,0,10857.5
11431,2017-10-19,12761,1,6437,8765,1,7,0,10128.0
11112,2017-10-12,12797,1,6437,8763,1,11,0,8379.0
21744,2018-04-05,12750,1,6437,8749,1,5,0,8044.0
11528,2017-10-19,12797,1,6437,8747,1,11,0,8379.0
11133,2017-10-12,12797,4,7840,8698,3,11,2,1397.6
19048,2018-02-15,12839,4,7840,8622,3,17,2,3471.0
18228,2018-02-01,12839,1,6555,8610,2,17,0,3870.0
14378,2017-12-07,12761,1,6437,8548,1,7,0,10128.0
20697,2018-03-15,12809,4,7840,8537,3,15,2,6715.0
18991,2018-02-15,12809,1,6437,8518,1,15,0,7146.75
