,fecha,agencia_id,canal_id,producto_id,venta_uni,agencia_orig,producto_orig,canal_orig,fechaLab,season,isholiday,isholidayyesterday,isholidaytomorrow,Week,Month,lag1month,lag05month,lag05rollavg2,lag05rollavg3,lag2rollavg3,lag05ewma3,lag05ewma8,lag2ewma3,lag4ewma3,lag05ewma3lag05ewma8,lag2ewma3lag4ewma3,price
0,2017-05-11,0,0,0,6,12615,6011,1,5,1,0,1,0,19,5,80,132,0.0,0.0,0.0,132.0,132.0,132.0,80.0,0.0,52.0,16
1,2017-05-11,0,0,1,1133,12615,6437,1,5,1,0,1,0,19,5,4442,5720,2926.0,0.0,2261.0,3857.0,3275.0,3857.0,2988.0,582.0,869.0,7
2,2017-05-11,0,0,2,560,12615,6555,1,5,1,0,1,0,19,5,2439,2999,4360.0,2950.0,3440.0,3367.0,3159.0,3367.0,2674.0,208.0,693.0,7
3,2017-05-11,0,0,3,784,12615,7840,1,5,1,0,1,0,19,5,4420,5938,4468.0,4886.0,3430.0,4738.0,4133.0,4738.0,3605.0,605.0,1133.0,5
4,2017-05-11,0,0,4,21,12615,9784,1,5,1,0,1,0,19,5,257,316,3127.0,3084.0,2338.0,2456.0,2947.0,2456.0,1877.0,-491.0,579.0,11
5,2017-05-11,0,0,5,9,12615,32354,1,5,1,0,1,0,19,5,28,28,172.0,2094.0,142.0,1223.0,2114.0,1223.0,938.0,-891.0,285.0,16
6,2017-05-11,0,0,6,11,12615,33258,1,5,1,0,1,0,19,5,41,47,38.0,130.0,34.0,630.0,1559.0,630.0,486.0,-929.0,144.0,71
7,2017-05-11,0,0,8,183,12615,38588,1,5,1,0,1,0,19,5,792,1228,638.0,434.0,416.0,930.0,1474.0,930.0,640.0,-544.0,290.0,5
8,2017-05-11,0,0,9,33,12615,39109,1,5,1,0,1,0,19,5,99,144,686.0,473.0,446.0,536.0,1144.0,536.0,369.0,-608.0,167.0,10
9,2017-05-11,0,0,10,41,12615,41653,1,5,1,0,1,0,19,5,81,113,128.0,495.0,90.0,324.0,895.0,324.0,225.0,-571.0,99.0,109
10,2017-05-11,0,0,12,1065,12615,42158,1,5,1,0,1,0,19,5,3948,4837,2475.0,1698.0,2014.0,2582.0,1830.0,2582.0,2087.0,752.0,495.0,7
11,2017-05-11,0,0,15,32,12615,123335,1,5,1,0,1,0,19,5,373,612,2724.0,1854.0,2160.0,1597.0,1545.0,1597.0,1230.0,52.0,367.0,7
12,2017-05-11,0,0,17,506,12615,123492,1,5,1,0,1,0,19,5,1942,2220,1416.0,2556.0,1158.0,1908.0,1701.0,1908.0,1586.0,207.0,322.0,8
13,2017-05-11,0,0,18,309,12615,123576,1,5,1,0,1,0,19,5,1295,1614,1917.0,1482.0,1618.0,1761.0,1681.0,1761.0,1440.0,80.0,321.0,7
14,2017-05-11,0,2,0,20,12615,6011,4,5,1,0,1,0,19,5,0,0,807.0,1278.0,648.0,881.0,1299.0,881.0,720.0,-418.0,161.0,16
15,2017-05-11,0,2,1,10,12615,6437,4,5,1,0,1,0,19,5,70,154,77.0,589.0,35.0,517.0,1040.0,517.0,395.0,-523.0,122.0,7
16,2017-05-11,0,2,3,200,12615,7840,4,5,1,0,1,0,19,5,6624,7599,3876.0,2584.0,3347.0,4058.0,2518.0,4058.0,3510.0,1540.0,548.0,5
17,2017-05-11,0,2,8,54,12615,38588,4,5,1,0,1,0,19,5,327,593,4096.0,2782.0,3476.0,2326.0,2086.0,2326.0,1918.0,240.0,408.0,5
18,2017-05-11,0,2,16,70,12615,123460,4,5,1,0,1,0,19,5,11,17,305.0,2736.0,169.0,1171.0,1622.0,1171.0,965.0,-451.0,206.0,23
19,2017-05-11,1,0,0,20,12636,6011,1,5,1,0,1,0,19,5,274,408,212.0,339.0,142.0,790.0,1350.0,790.0,619.0,-560.0,171.0,16
20,2017-05-11,1,0,1,5506,12636,6437,1,5,1,0,1,0,19,5,19788,25714,13061.0,8713.0,10031.0,13252.0,6792.0,13252.0,10204.0,6460.0,3048.0,7
21,2017-05-11,1,0,2,4896,12636,6555,1,5,1,0,1,0,19,5,18428,25686,25700.0,17269.0,19108.0,19469.0,11008.0,19469.0,14316.0,8461.0,5153.0,7
