,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
49,producto_id=14,0.0,,,,,,,
82,Week=45,0.0,,,,,,,
29,agencia_id=16,0.0,,,,,,,
31,agencia_id=18,0.0,,,,,,,
35,producto_id=0,0.0,,,,,,,
39,producto_id=4,0.0,,,,,,,
40,producto_id=5,0.0,,,,,,,
41,producto_id=6,0.0,,,,,,,
42,producto_id=7,0.0,,,,,,,
44,producto_id=9,0.0,,,,,,,
45,producto_id=10,0.0,,,,,,,
46,producto_id=11,0.0,,,,,,,
47,producto_id=12,0.0,,,,,,,
48,producto_id=13,0.0,,,,,,,
50,producto_id=15,0.0,,,,,,,
51,producto_id=16,0.0,,,,,,,
56,Week=2,0.0,,,,,,,
77,Week=40,0.0,,,,,,,
75,Week=38,0.0,,,,,,,
65,Week=28,0.0,,,,,,,
67,Week=30,0.0,,,,,,,
68,Week=31,0.0,,,,,,,
27,agencia_id=14,0.0,,,,,,,
25,agencia_id=12,0.0,,,,,,,
79,Week=42,0.0,,,,,,,
23,agencia_id=10,0.0,,,,,,,
22,agencia_id=9,0.0,,,,,,,
21,agencia_id=8,0.0,,,,,,,
97,Month=10,0.0,,,,,,,
19,agencia_id=6,0.0,,,,,,,
92,Month=5,0.0,,,,,,,
84,Week=47,0.0,,,,,,,
17,agencia_id=4,0.0,,,,,,,
15,agencia_id=2,0.0,,,,,,,
86,Week=49,8.535776449282311e-06,,,,,,,
93,Month=6,4.4554270134264804e-05,,,,,,,
94,Month=7,9.426676328043444e-05,,,,,,,
53,season=0,0.000122847815395432,,,,,,,
43,producto_id=8,0.00012666968174627092,,,,,,,
26,agencia_id=13,0.00012838451439072784,,,,,,,
78,Week=41,0.0001385840985128819,,,,,,,
88,Week=51,0.00016288127227207522,,,,,,,
91,Month=2,0.00030425722273707715,,,,,,,
66,Week=29,0.0004770296389517506,,,,,,,
58,Week=4,0.0006084515555600842,,,,,,,
90,Month=1,0.0007172777899400168,,,,,,,
72,Week=35,0.0007258759168987745,,,,,,,
98,Month=11,0.0007285905438195545,,,,,,,
52,producto_id=17,0.0009594672532368424,,,,,,,
37,producto_id=2,0.0009620117151183339,,,,,,,
60,Week=21,0.0010003073448071667,,,,,,,
24,agencia_id=11,0.0011081292402945729,,,,,,,
33,canal_id=1,0.0013245343704721836,,,,,,,
61,Week=22,0.0013350017560957606,,,,,,,
54,season=1,0.0013356054749325873,,,,,,,
16,agencia_id=3,0.0015612789688121303,,,,,,,
64,Week=26,0.0015934484118629844,,,,,,,
73,Week=36,0.0018636195705470035,,,,,,,
80,Week=43,0.001942806827486177,,,,,,,
83,Week=46,0.001963403571633896,,,,,,,
76,Week=39,0.002067886927673125,,,,,,,
20,agencia_id=7,0.0025032060516054556,,,,,,,
96,Month=9,0.0028592871964601245,,,,,,,
81,Week=44,0.0032894361944771928,,,,,,,
34,canal_id=2,0.003551962425197399,,,,,,,
69,Week=32,0.0035916513921894636,,,,,,,
87,Week=50,0.0036866355498279125,,,,,,,
55,Week=1,0.004073617898758248,,,,,,,
14,agencia_id=1,0.004165022097848213,,,,,,,
1,isholiday,0.004238986684411649,0.13367378011525338,0.0,0.0,0.0,0.0,0.0,0.0
13,price,0.0044710101551386485,30.949080837785843,52.15010932877728,-10.210861296006014,52.39310157698183,10.518711227729877,0.0,4.469931726248888
59,Week=20,0.004575241231464787,,,,,,,
74,Week=37,0.005002032697606581,,,,,,,
99,Month=12,0.0051170894686945155,,,,,,,
95,Month=8,0.00527397288069005,,,,,,,
63,Week=24,0.005336079954888054,,,,,,,
36,producto_id=1,0.00547446464907619,,,,,,,
71,Week=34,0.005696184752271842,,,,,,,
30,agencia_id=17,0.0058616830070020295,,,,,,,
28,agencia_id=15,0.006426902330596295,,,,,,,
62,Week=23,0.007271939967064336,,,,,,,
32,canal_id=0,0.007745561130942012,,,,,,,
7,lag05ewma3,0.008463417652591475,4205.887763815483,1.9089786589672517,-5.555676264971015,2.324644750188388,5.687152770507749,0.0,0.0
57,Week=3,0.009452621014057852,,,,,,,
70,Week=33,0.011600083568230269,,,,,,,
89,Week=52,0.012220418973128089,,,,,,,
9,lag2ewma3,0.016742082310399694,4205.887763815483,2.3065381928535578,-1.8901328773249355,4.018515116561437,3.6381953503277717,0.0,0.0
18,agencia_id=5,0.017187855953621402,,,,,,,
85,Week=48,0.020210364398365026,,,,,,,
8,lag05ewma8,0.02742519908744842,2758.0209404752513,2.071402277678092,-2.74866038593204,7.203198978426252,5.126300726713078,0.0,0.0
0,fechaLab,0.028954911238609774,5.870408682067279,-8.553060329574025,13.241575888656655,27.9159802255902,22.22031067448884,0.0,0.0
